timestamp,device_name,device_type,rated_power,power,hour,dow,is_legal_spike,is_anomaly,anomaly_type
2026-01-01T00:00:00,Кондиционер,Климат,3.5,0.8164281115524472,0,0,0,0,normal
2026-01-01T01:00:00,Кондиционер,Климат,3.5,0.5302452004383174,1,0,0,0,normal
2026-01-01T02:00:00,Кондиционер,Климат,3.5,0.9124517092778923,2,0,0,0,normal
2026-01-01T03:00:00,Кондиционер,Климат,3.5,0.9489658862621885,3,0,0,0,normal
2026-01-01T04:00:00,Кондиционер,Климат,3.5,0.5169879131653963,4,0,0,0,normal
2026-01-01T05:00:00,Кондиционер,Климат,3.5,0.823656129490874,5,0,0,0,normal
2026-01-01T06:00:00,Кондиционер,Климат,3.5,1.4654204161618534,6,0,0,0,normal
2026-01-01T07:00:00,Кондиционер,Климат,3.5,1.7216536090583088,7,0,0,0,normal
2026-01-01T08:00:00,Кондиционер,Климат,3.5,1.9826098303030915,8,0,0,0,normal
2026-01-01T09:00:00,Кондиционер,Климат,3.5,1.6223319191768961,9,0,0,0,normal
2026-01-01T10:00:00,Кондиционер,Климат,3.5,1.8089613684049846,10,0,0,0,normal
2026-01-01T11:00:00,Кондиционер,Климат,3.5,1.969705383291722,11,0,0,0,normal
2026-01-01T12:00:00,Кондиционер,Климат,3.5,2.3550086222868414,12,0,0,0,normal
2026-01-01T13:00:00,Кондиционер,Климат,3.5,3.1002033538388116,13,0,0,0,normal
2026-01-01T14:00:00,Кондиционер,Климат,3.5,3.305018872166813,14,0,0,0,normal
2026-01-01T15:00:00,Кондиционер,Климат,3.5,3.220799032810506,15,0,0,0,normal
2026-01-01T16:00:00,Кондиционер,Климат,3.5,3.484362987469072,16,0,0,0,normal
2026-01-01T17:00:00,Кондиционер,Климат,3.5,2.8425579388379654,17,0,0,0,normal
2026-01-01T18:00:00,Кондиционер,Климат,3.5,2.708305288525188,18,0,0,0,normal
2026-01-01T19:00:00,Кондиционер,Климат,3.5,1.9878492615739303,19,0,0,0,normal
2026-01-01T20:00:00,Кондиционер,Климат,3.5,1.6067612566592362,20,0,0,0,normal
2026-01-01T21:00:00,Кондиционер,Климат,3.5,1.1450874368641641,21,0,0,0,normal
2026-01-01T22:00:00,Кондиционер,Климат,3.5,1.3714221408256677,22,0,0,0,normal
2026-01-01T23:00:00,Кондиционер,Климат,3.5,0.9037393255125621,23,0,0,0,normal
